Date,Open,High,Low,Close*,Adj. close**,Volume
16-Oct-18,"25,351.53","25,817.68","25,351.53","25,798.42","25,798.42","305,800,000"
15-Oct-18,"25,332.46","25,482.42","25,243.88","25,250.55","25,250.55","287,320,000"
12-Oct-18,"25,407.63","25,467.55","25,000.83","25,339.99","25,339.99","397,510,000"
11-Oct-18,"25,518.39","25,683.64","24,899.77","25,052.83","25,052.83","522,880,000"
10-Oct-18,"26,441.73","26,487.87","25,567.10","25,598.74","25,598.74","438,200,000"
9-Oct-18,"26,469.19","26,539.94","26,324.16","26,430.57","26,430.57","282,560,000"
8-Oct-18,"26,399.45","26,529.35","26,223.09","26,486.78","26,486.78","273,020,000"
5-Oct-18,"26,632.77","26,676.16","26,301.81","26,447.05","26,447.05","267,100,000"
4-Oct-18,"26,784.08","26,793.82","26,471.61","26,627.48","26,627.48","289,600,000"
3-Oct-18,"26,833.47","26,951.81","26,789.08","26,828.39","26,828.39","280,130,000"
2-Oct-18,"26,648.91","26,824.78","26,627.66","26,773.94","26,773.94","258,290,000"
1-Oct-18,"26,598.36","26,737.98","26,596.05","26,651.21","26,651.21","238,320,000"
28-Sep-18,"26,407.66","26,515.76","26,383.57","26,458.31","26,458.31","264,030,000"
27-Sep-18,"26,418.27","26,557.01","26,379.95","26,439.93","26,439.93","226,350,000"
26-Sep-18,"26,536.86","26,606.09","26,349.34","26,385.28","26,385.28","262,620,000"
25-Sep-18,"26,601.58","26,634.85","26,475.58","26,492.21","26,492.21","234,110,000"
24-Sep-18,"26,705.25","26,709.94","26,548.68","26,562.05","26,562.05","254,850,000"
21-Sep-18,"26,726.25","26,769.16","26,680.37","26,743.50","26,743.50","657,620,000"
20-Sep-18,"26,519.39","26,697.49","26,519.39","26,656.98","26,656.98","260,480,000"
19-Sep-18,"26,287.84","26,464.41","26,280.76","26,405.76","26,405.76","251,330,000"
18-Sep-18,"26,076.21","26,317.34","26,076.21","26,246.96","26,246.96","243,000,000"
17-Sep-18,"26,151.66","26,184.47","26,030.35","26,062.12","26,062.12","230,230,000"
14-Sep-18,"26,169.56","26,211.11","26,068.29","26,154.67","26,154.67","228,640,000"
13-Sep-18,"26,083.94","26,191.64","26,067.08","26,145.99","26,145.99","260,800,000"
12-Sep-18,"25,989.07","26,145.72","25,929.43","25,998.92","25,998.92","282,770,000"
11-Sep-18,"25,841.14","26,019.92","25,754.32","25,971.06","25,971.06","265,960,000"
10-Sep-18,"25,991.91","26,039.96","25,854.13","25,857.07","25,857.07","252,170,000"
7-Sep-18,"25,951.02","26,002.99","25,818.39","25,916.54","25,916.54","281,350,000"
6-Sep-18,"25,973.02","26,073.68","25,880.84","25,995.87","25,995.87","262,380,000"
5-Sep-18,"25,919.84","26,011.22","25,871.04","25,974.99","25,974.99","289,210,000"
4-Sep-18,"25,916.07","25,971.77","25,805.95","25,952.48","25,952.48","254,600,000"
31-Aug-18,"25,964.85","26,028.83","25,879.77","25,964.82","25,964.82","273,440,000"
30-Aug-18,"26,099.01","26,104.37","25,934.80","25,986.92","25,986.92","240,440,000"
29-Aug-18,"26,082.53","26,167.94","26,035.30","26,124.57","26,124.57","214,960,000"
28-Aug-18,"26,092.70","26,122.24","26,037.85","26,064.02","26,064.02","211,470,000"
27-Aug-18,"25,882.71","26,067.57","25,882.71","26,049.64","26,049.64","220,510,000"
24-Aug-18,"25,688.58","25,826.05","25,688.58","25,790.35","25,790.35","200,330,000"
23-Aug-18,"25,714.86","25,762.56","25,608.02","25,656.98","25,656.98","213,270,000"
22-Aug-18,"25,825.06","25,836.16","25,722.43","25,733.60","25,733.60","200,480,000"
21-Aug-18,"25,786.99","25,888.82","25,784.90","25,822.29","25,822.29","241,620,000"
20-Aug-18,"25,727.70","25,790.17","25,716.41","25,758.69","25,758.69","248,570,000"
17-Aug-18,"25,550.80","25,728.16","25,521.66","25,669.32","25,669.32","284,160,000"
16-Aug-18,"25,294.97","25,607.34","25,294.97","25,558.73","25,558.73","342,430,000"
15-Aug-18,"25,235.37","25,235.37","24,965.77","25,162.41","25,162.41","295,810,000"
14-Aug-18,"25,215.69","25,339.51","25,201.87","25,299.92","25,299.92","219,210,000"
13-Aug-18,"25,327.19","25,381.39","25,153.93","25,187.70","25,187.70","219,990,000"
10-Aug-18,"25,401.19","25,401.19","25,222.88","25,313.14","25,313.14","234,480,000"
9-Aug-18,"25,589.79","25,613.31","25,492.69","25,509.23","25,509.23","214,970,000"
8-Aug-18,"25,615.72","25,634.11","25,557.48","25,583.75","25,583.75","217,770,000"
7-Aug-18,"25,551.65","25,692.72","25,551.65","25,628.91","25,628.91","239,910,000"
6-Aug-18,"25,437.43","25,540.02","25,381.38","25,502.18","25,502.18","238,990,000"
3-Aug-18,"25,360.37","25,467.90","25,325.17","25,462.58","25,462.58","239,020,000"
2-Aug-18,"25,256.45","25,360.48","25,120.07","25,326.16","25,326.16","307,700,000"
1-Aug-18,"25,461.63","25,488.80","25,278.32","25,333.82","25,333.82","315,880,000"
31-Jul-18,"25,345.21","25,490.98","25,345.21","25,415.19","25,415.19","348,700,000"
30-Jul-18,"25,439.32","25,500.16","25,287.38","25,306.83","25,306.83","296,880,000"
27-Jul-18,"25,520.52","25,580.22","25,370.07","25,451.06","25,451.06","329,680,000"
26-Jul-18,"25,468.55","25,587.24","25,463.16","25,527.07","25,527.07","297,530,000"
25-Jul-18,"25,183.70","25,432.87","25,113.55","25,414.10","25,414.10","273,670,000"
24-Jul-18,"25,092.43","25,286.62","25,092.43","25,241.94","25,241.94","274,940,000"
23-Jul-18,"25,036.90","25,081.45","24,983.33","25,044.29","25,044.29","228,820,000"
20-Jul-18,"25,041.14","25,124.10","24,986.35","25,058.12","25,058.12","274,080,000"
19-Jul-18,"25,139.15","25,154.17","25,052.62","25,064.50","25,064.50","285,760,000"
18-Jul-18,"25,133.79","25,215.32","25,101.12","25,199.29","25,199.29","252,870,000"
17-Jul-18,"25,033.92","25,155.39","24,989.61","25,119.89","25,119.89","250,450,000"
16-Jul-18,"25,025.58","25,072.41","24,979.64","25,064.36","25,064.36","231,270,000"
13-Jul-18,"24,926.07","25,043.21","24,890.06","25,019.41","25,019.41","255,520,000"
12-Jul-18,"24,802.90","24,939.97","24,802.90","24,924.89","24,924.89","233,150,000"
11-Jul-18,"24,789.48","24,815.16","24,663.82","24,700.45","24,700.45","237,370,000"
10-Jul-18,"24,806.97","24,945.38","24,806.97","24,919.66","24,919.66","235,040,000"
9-Jul-18,"24,519.20","24,796.52","24,518.43","24,776.59","24,776.59","240,580,000"
6-Jul-18,"24,352.47","24,520.29","24,281.47","24,456.48","24,456.48","219,450,000"
5-Jul-18,"24,285.82","24,372.80","24,177.44","24,356.74","24,356.74","237,670,000"
3-Jul-18,"24,359.39","24,444.88","24,150.85","24,174.82","24,174.82","160,960,000"
2-Jul-18,"24,161.53","24,319.42","24,077.56","24,307.18","24,307.18","244,110,000"
29-Jun-18,"24,323.93","24,509.52","24,269.71","24,271.41","24,271.41","329,070,000"
28-Jun-18,"24,064.19","24,308.16","23,997.21","24,216.05","24,216.05","305,020,000"
27-Jun-18,"24,303.11","24,569.02","24,115.82","24,117.59","24,117.59","313,790,000"
26-Jun-18,"24,281.89","24,384.21","24,241.22","24,283.11","24,283.11","301,130,000"
25-Jun-18,"24,463.73","24,463.73","24,084.39","24,252.80","24,252.80","439,130,000"
22-Jun-18,"24,526.97","24,663.18","24,526.97","24,580.89","24,580.89","473,970,000"
21-Jun-18,"24,639.21","24,639.21","24,406.63","24,461.70","24,461.70","349,570,000"
20-Jun-18,"24,771.17","24,804.76","24,628.39","24,657.80","24,657.80","359,520,000"
19-Jun-18,"24,763.59","24,763.59","24,567.75","24,700.21","24,700.21","376,380,000"
18-Jun-18,"24,944.28","25,003.10","24,825.77","24,987.47","24,987.47","337,070,000"
15-Jun-18,"25,116.71","25,130.82","24,894.38","25,090.48","25,090.48","659,370,000"
14-Jun-18,"25,254.65","25,332.50","25,138.60","25,175.31","25,175.31","341,170,000"
13-Jun-18,"25,328.65","25,362.07","25,191.42","25,201.20","25,201.20","329,700,000"
12-Jun-18,"25,346.82","25,364.37","25,247.04","25,320.73","25,320.73","265,750,000"
11-Jun-18,"25,336.67","25,402.83","25,290.20","25,322.31","25,322.31","276,740,000"
8-Jun-18,"25,209.29","25,325.63","25,165.70","25,316.53","25,316.53","317,510,000"
7-Jun-18,"25,192.14","25,326.09","25,164.48","25,241.41","25,241.41","357,680,000"
6-Jun-18,"24,854.14","25,146.46","24,854.14","25,146.39","25,146.39","316,090,000"
5-Jun-18,"24,820.12","24,838.78","24,710.82","24,799.98","24,799.98","306,340,000"
4-Jun-18,"24,727.55","24,859.37","24,722.14","24,813.69","24,813.69","340,400,000"
