,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-12,36.99793243408203,955.1400146484375,63.83168411254883,64.96199798583984,39.025001525878906,955.1400146484375,68.37999725341797,64.96199798583984,39.10499954223633,957.97998046875,68.61000061035156,65.4000015258789,38.66749954223633,952.0599975585938,68.04000091552734,64.30599975585938,38.67499923706055,957.8499755859375,68.61000061035156,65.09600067138672,130108000,1214900,18714100,20608000
2017-05-15,36.903114318847656,959.219970703125,63.87836837768555,63.17599868774414,38.92499923706055,959.219970703125,68.43000030517578,63.17599868774414,39.162498474121094,962.7000122070312,68.4800033569336,64.04000091552734,38.76250076293945,952.8200073242188,67.56999969482422,62.50600051879883,39.002498626708984,955.2899780273438,68.13999938964844,63.67599868774414,104038800,1337700,31530300,38110000
2017-05-16,36.848609924316406,964.6099853515625,65.16456604003906,63.402000427246094,38.86750030517578,964.6099853515625,69.41000366210938,63.402000427246094,39.01499938964844,965.9000244140625,69.44000244140625,64.01200103759766,38.68000030517578,960.3499755859375,68.16000366210938,63.02799987792969,38.98500061035156,963.5499877929688,68.2300033569336,63.518001556396484,80194000,1101500,34956000,20762500
2017-05-17,35.61138916015625,942.1699829101562,63.35261917114258,61.22200012207031,37.5625,942.1699829101562,67.4800033569336,61.22200012207031,38.64250183105469,960.989990234375,69.0999984741211,62.92599868774414,37.4275016784668,940.0599975585938,67.43000030517578,61.099998474121094,38.400001525878906,959.7000122070312,68.88999938964844,62.87799835205078,203070800,2449100,30548800,33559500
2017-05-18,36.154151916503906,950.5,63.56855392456055,62.61199951171875,38.1349983215332,950.5,67.70999908447266,62.61199951171875,38.334999084472656,954.1799926757812,68.12999725341797,62.78799819946289,37.782501220703125,941.27001953125,67.13999938964844,61.0620002746582,37.817501068115234,943.2000122070312,67.4000015258789,61.400001525878906,134272800,1800500,25201300,28269000
2017-05-19,36.277408599853516,954.6500244140625,63.549781799316406,62.16600036621094,38.26499938964844,954.6500244140625,67.69000244140625,62.16600036621094,38.494998931884766,959.5599975585938,68.0999984741211,63.29999923706055,38.157501220703125,952.0,67.43000030517578,62.040000915527344,38.345001220703125,952.8200073242188,67.5,63.099998474121094,107843200,1360300,26961100,23438000
2017-05-22,36.49782943725586,964.0700073242188,64.2632827758789,62.06999969482422,38.497501373291016,964.0700073242188,68.44999694824219,62.06999969482422,38.64500045776367,964.8200073242188,68.5,62.874000549316406,38.227500915527344,956.5599975585938,67.5,61.36000061035156,38.5,957.0,67.88999938964844,62.560001373291016,91865600,1387400,16237600,21646000
2017-05-23,36.452796936035156,970.5499877929688,64.47920989990234,60.77199935913086,38.45000076293945,970.5499877929688,68.68000030517578,60.77199935913086,38.724998474121094,974.510009765625,68.75,62.145999908447266,38.32749938964844,964.5,68.37999725341797,60.69599914550781,38.724998474121094,969.9600219726562,68.72000122070312,62.09199905395508,79675600,1545400,15425800,21592000
2017-05-24,36.34376525878906,977.6099853515625,64.56371307373047,62.04399871826172,38.334999084472656,977.6099853515625,68.7699966430664,62.04399871826172,38.54249954223633,978.1199951171875,68.87999725341797,62.20000076293945,38.16749954223633,971.6300048828125,68.44999694824219,61.08000183105469,38.459999084472656,975.260009765625,68.87000274658203,61.301998138427734,76712000,1133000,14593900,25166500
2017-05-25,36.469383239746094,991.8599853515625,65.36172485351562,63.36600112915039,38.467498779296875,991.8599853515625,69.62000274658203,63.36600112915039,38.587501525878906,995.780029296875,69.87999725341797,63.39400100708008,38.25749969482422,977.8200073242188,68.91000366210938,61.5620002746582,38.432498931884766,979.0,68.97000122070312,62.20399856567383,76942400,1954100,21854100,25070000
2017-05-26,36.40776062011719,993.27001953125,65.68093872070312,65.02799987792969,38.40250015258789,993.27001953125,69.95999908447266,65.02799987792969,38.560001373291016,996.3900146484375,70.22000122070312,65.0979995727539,38.32749938964844,987.3599853515625,69.5199966430664,63.262001037597656,38.5,992.0,69.80000305175781,63.45600128173828,87710400,1636400,19827900,39011000
2017-05-30,36.42197799682617,996.1699829101562,66.10340118408203,67.0199966430664,38.41749954223633,996.1699829101562,70.41000366210938,67.0199966430664,38.60749816894531,997.6199951171875,70.41000366210938,67.25599670410156,38.33250045776367,991.3599853515625,69.7699966430664,65.1520004272461,38.35499954223633,992.5,69.79000091552734,65.19999694824219,80507600,1516200,17072800,38914500
